Name,Bias Rating,Country,Website,Youtube Channel,Twitter Handle,Twitter Similarity
Political Tribune (politicaltribune.org) (Formerly DC Tribune),left,USA (45/180 Press Freedom),https://polinews.org/,,politribune,0.631578947368421
PoliticusUsa (www.politicususa.com),left,USA (44/180 Press Freedom),https://www.politicususa.com,,,
Politizoom (politizoom.com),left,USA,https://politizoom.com,UCSxCtu4groYcYi_2rk5-xdg,politizoom,1.0
Popular Information (popular.info),left,USA,https://popular.info,,juddlegum,0.25
Popular Resistance (popularresistance.org),left,USA (44/180 Press Freedom),https://popularresistance.org/,,popresistance,0.8666666666666667
Press Progress (www.pressprogress.ca),left,Canada,https://www.pressprogress.ca/,,pressprogress,1.0
Progressive Change Campaign Committee (boldprogressives.org),left,USA,https://www.boldprogressives.org/,,boldprogressive,0.967741935483871
Project Censored (projectcensored.org),left,USA (44/180 Press Freedom),https://www.projectcensored.org/,ProjectCensored,projectcensored,1.0
Queerty (www.queerty.com),left,USA (44/180 Press Freedom),https://www.queerty.com,,queerty,1.0
Rabble.ca (rabble.ca),left,Canada,http://rabble.ca/,,rabbleca,0.8571428571428571
Rantt Media (rantt.com),left,USA,https://rantt.com,,,
Raw Story (www.rawstory.com),left,USA (45/180 Press Freedom),https://www.rawstory.com/,UCt6tgXcL1hC9gItUIgiDvMQ,,
Reader Supported News (RSN) (readersupportednews.org),left,USA (44/180 Press Freedom),https://www.rsn.org/,,,
Reading the Pictures (www.readingthepictures.org),left,USA (44/180 Press Freedom),https://www.readingthepictures.org/,bagnewssalon,readingthepix,0.7741935483870968
Real News Network (therealnews.com),left,USA (44/180 Press Freedom),https://therealnews.com/,therealnews,therealnews,1.0
Red Pepper (www.redpepper.org.uk),left,United Kingdom,http://www.redpepper.org.uk/,,redpeppermag,0.8571428571428571
Refinery29 (refinery29.com),left,USA (45/180 Press Freedom),https://www.refinery29.com/,Refinery29TV,refinery29,1.0
Republic Report (www.republicreport.org),left,USA,https://www.republicreport.org,,,
Resilience (Post Carbon Institute) (www.resilience.org),left,USA,https://www.resilience.org,,buildresilience,0.8
Revcom.us (revcom.us),left,USA,https://revcom.us/,therevcoms,therevcoms,0.75
ReWire.news (rewire.news),left,USA,https://rewirenewsgroup.com/,,,
Right Wing Watch (www.rightwingwatch.org),left,USA (44/180 Press Freedom),https://www.rightwingwatch.org/,,,
